championship_name,event__name,round_name,rank,bib,nme,noc,total
2022 Shotgun World Championship,Trap Women,Qualification,96,1056,SOLYOM Laszlo,AUT,111
2022 Shotgun World Championship,Trap Women,Qualification,97,1543,KHASSYANOV Victor,KAZ,111
2022 Shotgun World Championship,Trap Women,Qualification,98,2009,MARTINEZ Leonel,VEN,111
2022 Shotgun World Championship,Trap Women,Qualification,99,1298,RUUTANA Teemu Antero,FIN,111
2022 Shotgun World Championship,Trap Women,Qualification,100,1693,GALEA James,MLT,111
2022 Shotgun World Championship,Trap Women,Qualification,101,1432,MOLDOVAN Marcell,HUN,110
2022 Shotgun World Championship,Trap Women,Qualification,102,1540,CHIKULAYEV Artyom,KAZ,110
2022 Shotgun World Championship,Trap Women,Qualification,104,1377,EIDEKORN Steve,GER,110
2022 Shotgun World Championship,Trap Women,Qualification,105,1916,SRESTHAPORN Savate,THA,110
2022 Shotgun World Championship,Trap Women,Qualification,106,1719,UNNELAND Espen,NOR,110
2022 Shotgun World Championship,Trap Women,Qualification,107,1865,TAKAC Stevan,SRB,109
2022 Shotgun World Championship,Trap Women,Qualification,108,1521,ALTRABEISHIAhmad Zuhier Abdulrahk,JOR,109
2022 Shotgun World Championship,Trap Women,Qualification,109,1825,BORNMAN Neels,RSA,109
2022 Shotgun World Championship,Trap Women,Qualification,110,1032,GRICE Thomas Derek,AUS,109
2022 Shotgun World Championship,Trap Women,Qualification,112,1565,AHN Daemyeong,KOR,108
2022 Shotgun World Championship,Trap Women,Qualification,113,1800,ABUSHARIB Saeed,QAT,108
2022 Shotgun World Championship,Trap Women,Qualification,115,1845,VATOVEC Denis,SLO,107
2022 Shotgun World Championship,Trap Women,Qualification,116,1861,BARETTA Victor,SRB,107
2022 Shotgun World Championship,Trap Women,Qualification,118,1425,BELCSIK Zsolt,HUN,107
2022 Shotgun World Championship,Trap Women,Qualification,119,1453,KAPOOR Vivaan,IND,107
2022 Shotgun World Championship,Trap Women,Qualification,120,1826,STEYN Willem Jacobus Petrus,RSA,107
2022 Shotgun World Championship,Trap Women,Qualification,122,1864,SOTRA Nikola,SRB,107
2022 Shotgun World Championship,Trap Women,Qualification,123,1083,TILMANT Jean-Marc Alain M,BEL,106
2022 Shotgun World Championship,Trap Women,Qualification,124,1702,MRKAJIC Dragan,MNE,106
2022 Shotgun World Championship,Trap Women,Qualification,125,1102,RIBEIRO NETO Teofilo,BRA,106
2022 Shotgun World Championship,Trap Women,Qualification,126,1053,ROSENAUER Jens,AUT,106
2022 Shotgun World Championship,Trap Women,Qualification,127,1872,MICHAUX Michael,SUI,106
2022 Shotgun World Championship,Trap Women,Qualification,128,1873,ZULJI Salen,SUI,106
2022 Shotgun World Championship,Trap Women,Qualification,129,1578,ALDAJANI Faisal Saud,KSA,106
2022 Shotgun World Championship,Trap Women,Qualification,130,1642,ZACCAGNINI Frank,LUX,105
2022 Shotgun World Championship,Trap Women,Qualification,131,1116,STAYKOV Dian,BUL,104
2022 Shotgun World Championship,Trap Women,Qualification,132,1068,HUSEYINLIAli,AZE,104
2022 Shotgun World Championship,Trap Women,Qualification,134,1630,BLASKEVICIUS Donatas,LTU,102
2022 Shotgun World Championship,Trap Women,Qualification,135,1660,LESCHEVICIUS Romutis,MDA,102
2022 Shotgun World Championship,Trap Women,Qualification,136,1659,BODEAN Andrei,MDA,101
2022 Shotgun World Championship,Trap Women,Qualification,138,1679,ATANASOVSKI Ivan,MKD,101
2022 Shotgun World Championship,Trap Women,Qualification,139,1065,GULIYEV Alimirza,AZE,101
2022 Shotgun World Championship,Trap Women,Qualification,140,1633,ZARECKIJ Aleksej,LTU,100
2022 Shotgun World Championship,Trap Women,Qualification,141,1126,ZEVLEVER Vadim,CAN,100
2022 Shotgun World Championship,Trap Women,Qualification,142,1089,MILOSEVIC Sladan,BIH,98
2022 Shotgun World Championship,Trap Women,Qualification,144,1091,STJEPANOVIC Miladin,BIH,97
2022 Shotgun World Championship,Trap Women,Qualification,145,1743,QURESHI Fakhar-UlI-lslam,PAK,97
2022 Shotgun World Championship,Trap Women,Qualification,146,1524,QUSOUS Aiman TI,JOR,97
2022 Shotgun World Championship,Trap Women,Qualification,148,1331,KLETTHEYGGJ Johnhard,FRO,94
2022 Shotgun World Championship,Trap Women,Qualification,149,1073,MEHDIZADE Sabir,AZE,93
2022 Shotgun World Championship,Trap Women,Qualification,150,1330,JOHANNESEN Alex,FRO,93
2022 Shotgun World Championship,Trap Women,Qualification,151,1090,SIMIC Mladen,BIH,88
2022 Shotgun World Championship,Trap Women,Qualification,152,1661,SCACODUB Anatoli,MDA,86
2022 Shotgun World Championship,Trap Women,Qualification,154,1476,BYRNE Wayne William B C rn iG FG ge S Fin oom = ia Sy SIUS,IRL,DNF
2022 Shotgun World Championship,Trap Women,Medal Match,1,1313,CORMENIER Carole,FRA,31
2022 Shotgun World Championship,Trap Women,Medal Match,2,1259,GALVEZ Fatima,ESP,29
2022 Shotgun World Championship,Trap Women,Medal Match,3,1888,REHAK STEFECEKOVA Zuzana,SVK,20
2022 Shotgun World Championship,Trap Women,Medal Match,4,1038,SKINNER Catherine Aistory,AUS,10
2022 Shotgun World Championship,Trap Men,Medal Match,1,1991,MEIN Derrick Scott,USA,33
2022 Shotgun World Championship,Trap Men,Medal Match,2,1342,HALES Nathan,GBR,31
2022 Shotgun World Championship,Trap Men,Medal Match,3,1926,YANG Kun-Pi,TPE,23
2022 Shotgun World Championship,Trap Men,Medal Match,4,1458,MENDIRATTA Bhowneesh,IND,13
2022 Shotgun World Championship,Trap Men,Ranking Match 1,1,1342,HALES Nathan,GBR,22
2022 Shotgun World Championship,Trap Men,Ranking Match 1,2,1926,YANG Kun-Pi,TPE,1
2022 Shotgun World Championship,Trap Men,Ranking Match 1,3,1312,BOURGUE Clement,FRA,0
2022 Shotgun World Championship,Trap Men,Ranking Match 1,4,1751,DE SOUZA FERREIRA Alessandro Teed RE,PER,12
2022 Shotgun World Championship,Trap Men,Ranking Match 2,1,1458,MENDIRATTA Bhowneesh,IND,24
2022 Shotgun World Championship,Trap Men,Ranking Match 2,2,1991,MEIN Derrick Scott,USA,5
2022 Shotgun World Championship,Trap Men,Ranking Match 2,3,1802,AL-ATHBA Rashid Hamad SA,QAT,4
2022 Shotgun World Championship,Trap Men,Ranking Match 2,4,1344,HEADING Aaron een RE Fistory,GBR,11
2023 Shotgun World Championship,Skeet Men,Final,1,1635,Mitas Efthimios,GRE,56
2023 Shotgun World Championship,Skeet Men,Final,2,1493,Kallioinen Eetu,FIN,55
